Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BH-18650-PC2,1,Battery_Cell,
"C1, C2",0805,2,22pF,
"C10, C17, C21, C22, C4",0805,5,100nF,
"C11, C12, C15",0805,3,1uF,
"C13, C20, C6, C7",0805,4,10uF,
"C14, C16",0805,2,1nF,
"C18, C19",1206,2,4.7uF,
C3,0805,1,4.7pF,
C5,0805,1,10pF,
"C8, C9",0805,2,18pF,
"D1, D3",0805,2,LED,
D2,D_DO-35_SOD27_P7.62mm_Horizontal,1,5.1V Zener,
D4,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
"H1, H2, H3, H4",MountingHole_2.2mm_M2,4,MountingHole,
J1,SMA_Amphenol_901-143_Horizontal,1,Conn_Coaxial,
J3,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Pin,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J5,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Socket,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J7,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
J8,PinHeader_1x02_P2.54mm_Vertical,1,Solar_panel_connector,
J9,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,
L1,0805,1,82nH,
L2,0805,1,470nF,
L3,WE-PD2_1054,1,10uH,
"Q1, Q2",SOT-23-3,2,SSM3J371R,
R1,0805,1,10k,
"R10, R17",0805,2,2k2,
R11,0805,1,R,
R12,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,R_Photo,
R13,0805,1,150k,
R14,0805,1,300k,
R15,0805,1,330r,
"R16, R18, R19, R20, R21, R4",0805,6,4k7,
R2,0805,1,150r,
"R3, R5, R6",0805,3,1k,
R7,0805,1,680mohm,
R8,0805,1,160k,
R9,0805,1,68k,
SW1,SW_CuK_JS202011CQN_DPDT_Straight,1,SW_SPDT,
SW_RESET1,SW_SPST_TL3305A,1,SW_Push,
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega644-20A,
U2,TSSOP-8_4.4x3mm_P0.65mm,1,~,
U3,SOT-23-6_Handsoldering,1,Micrf113,
U4,TO-92_Inline,1,MCP1700x-330xxTO,
U5,TO-92_Inline,1,DS18S20,
U6,SOT-23-5,1,MCP73831-2-OT,
U7,DIP-14_W7.62mm,1,SN74LS07N,
Y1,Crystal_HC49-U_Vertical,1,Crystal 16MHz,
Y2,Crystal_HC49-U_Vertical,1,Crystal 13.56MHz,
