Designator,Mid X,Mid Y,Rotation,Layer
C1,202.0925,-97.51,180.0,top
C10,193.6175,-110.91,180.0,top
C11,179.8075,-65.32,180.0,top
C12,193.73,-101.7775,90.0,top
C13,193.71,-106.1125,270.0,top
C14,177.22,-97.4075,90.0,top
C15,177.22,-101.81,270.0,top
C16,177.24,-106.1875,90.0,top
C17,184.62,-77.63,270.0,top
C18,182.22,-77.6625,90.0,top
C19,183.74,-61.7975,90.0,top
C2,207.1325,-97.49,0.0,top
C20,210.8275,-73.38,180.0,top
C21,156.2975,-113.32,0.0,top
C3,198.14,-109.1,270.0,top
C4,210.47,-109.4925,270.0,top
C5,198.31,-104.2325,90.0,top
C6,201.2,-91.7075,90.0,top
C7,191.79,-92.99,90.0,top
C8,187.99,-68.8975,270.0,top
C9,188.02,-79.99,270.0,top
D1,203.11,-113.555,90.0,top
D2,206.53,-113.555,90.0,top
D3,183.3875,-120.8,180.0,top
D4,194.155,-120.82,0.0,top
D5,183.42,-109.735,90.0,top
J1,213.8,-87.58,0.0,top
J2,183.74,-50.81,0.0,top
J3,205.03,-65.73,180.0,top
J4,166.655,-118.135,270.0,top
J5,216.08,-65.93,180.0,top
J6,216.07,-106.9,180.0,top
J7,162.27,-73.375,180.0,top
L2,184.7875,-65.29,180.0,top
R1,199.77,-113.6,90.0,top
R10,164.97,-97.63,90.0,top
R11,148.77,-95.09,90.0,top
R12,186.22,-92.93,180.0,top
R13,186.83,-109.56,270.0,top
R2,209.95,-113.62,90.0,top
R3,203.02,-100.86,270.0,top
R4,206.2,-100.87,270.0,top
R5,182.51,-116.75,270.0,top
R6,195.05,-116.76,270.0,top
R7,210.84,-76.77,0.0,top
R8,164.97,-107.8,90.0,top
R9,164.96,-102.71,90.0,top
SW_RESET1,176.36,-91.72,0.0,top
U1,185.62,-100.82,270.0,top
U2,182.8025,-70.7243,270.0,top
U3,204.6,-106.87,90.0,top
U4,196.5,-92.75,270.0,top
U5,188.86,-116.39,270.0,top
U6,156.18,-101.705,180.0,top
Y1,192.48,-77.2175,90.0,top
Y2,171.99,-103.18,90.0,top
